Model,Fold,AUC,Accuracy,F1
LR,1,0.8082342303970429,0.7256227810097419,0.642439716760043
LR,2,0.8371595323356676,0.7737290970630143,0.7044727416480883
LR,3,0.801522416054147,0.7077694198436905,0.6263319876192124
LR,4,0.7652838735337408,0.7142629436893868,0.6207846086346456
LR,5,0.7698960300838591,0.6969737512989435,0.658381865420211
XGB,1,0.8082724881723126,0.7082947138752899,0.4957384019229129
XGB,2,0.823251635561365,0.747565022128349,0.5775756145362498
XGB,3,0.7803969316036541,0.7436478640870403,0.5509277270213561
XGB,4,0.7588023380710708,0.7326268021700165,0.5521931500810418
XGB,5,0.7808082378423127,0.704876254910709,0.6110011998656601
RF,1,0.8256133552651164,0.755338032743065,0.6822210406566757
RF,2,0.8644780602499251,0.8031698827737305,0.7315879741004195
RF,3,0.7964491289147275,0.6945100495986467,0.5938057578596746
RF,4,0.7839489762930483,0.7189297291826122,0.592202437572255
RF,5,0.7789948228335417,0.6905064201063827,0.6475545636621817
ET,1,0.8228172664185179,0.7504832555123788,0.6825427366099849
ET,2,0.8595913612917511,0.7923523077235929,0.719058217185514
ET,3,0.8005681167592149,0.723271481135876,0.6402177841790964
ET,4,0.797983829338927,0.7140042655528014,0.6085616483307761
ET,5,0.7805084067405126,0.7004330407209245,0.6628255921099461
